@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2023/12/21 03:08:44:643',1,0.015719,0.00318,0.00436,0.598632,-2.647913,0.560415,1
2,'2023/12/21 03:08:44:694',1,0.017312,0.011172,-0.010704,0.600014,-2.647963,0.559835,1
3,'2023/12/21 03:08:44:709',1,0.014005,0.00838,-0.012887,0.600236,-2.647077,0.558709,1
4,'2023/12/21 03:08:44:741',1,0.00241,0.000044,-0.00993,0.599196,-2.646158,0.557071,1
5,'2023/12/21 03:08:44:775',1,-0.000259,0.01082,-0.022622,0.598036,-2.645345,0.556301,1
6,'2023/12/21 03:08:44:809',1,-0.000273,0.007326,-0.01671,0.595546,-2.644414,0.556475,1
7,'2023/12/21 03:08:44:842',1,0.018945,0.000629,0.009824,0.591205,-2.645425,0.556956,1
8,'2023/12/21 03:08:44:874',1,-0.004994,-0.009769,0.020714,0.586847,-2.646266,0.55666,1
9,'2023/12/21 03:08:44:907',1,0.008833,-0.006939,0.032264,0.584951,-2.647483,0.555971,1
10,'2023/12/21 03:08:44:941',1,-0.011649,0.005972,-0.029996,0.583051,-2.646899,0.554954,1
11,'2023/12/21 03:08:44:974',1,-0.003875,0.014045,-0.007895,0.576504,-2.648885,0.557613,1
12,'2023/12/21 03:08:45:008',1,0.028958,0.013268,0.035306,0.570058,-2.653501,0.5595,1
13,'2023/12/21 03:08:45:040',1,-0.000658,0.006705,0.001694,0.563419,-2.656451,0.560409,1
14,'2023/12/21 03:08:45:074',1,-0.000433,-0.005365,0.022671,0.556538,-2.66302,0.563536,1
15,'2023/12/21 03:08:45:107',1,0.001779,-0.002581,0.012325,0.551934,-2.670982,0.564961,1
16,'2023/12/21 03:08:45:141',1,-0.023362,0.004205,-0.052036,0.546973,-2.675839,0.567251,1
17,'2023/12/21 03:08:45:174',1,0.000426,0.007299,-0.024079,0.538789,-2.682462,0.57306,1
18,'2023/12/21 03:08:45:207',1,0.042664,0.039235,-0.020318,0.528792,-2.690207,0.576193,1
19,'2023/12/21 03:08:45:241',1,-0.001108,0.029028,-0.004461,0.515888,-2.697343,0.578118,1
20,'2023/12/21 03:08:45:274',1,0.001025,0.021189,0.016168,0.506183,-2.69796,0.578954,1
21,'2023/12/21 03:08:45:308',1,0.007831,0.013725,0.025128,0.498885,-2.698477,0.57795,1
22,'2023/12/21 03:08:45:340',1,0.005731,0.00279,0.046355,0.490898,-2.701848,0.574353,1
23,'2023/12/21 03:08:45:374',1,-0.029696,-0.015491,0.028588,0.485265,-2.703381,0.567712,1
24,'2023/12/21 03:08:45:408',1,-0.02652,-0.025534,0.054826,0.482917,-2.705154,0.562127,1
25,'2023/12/21 03:08:45:441',1,-0.017752,-0.029503,0.026198,0.483518,-2.708131,0.553528,1
26,'2023/12/21 03:08:45:474',1,-0.029765,-0.038704,0.000184,0.485121,-2.70995,0.54663,1
27,'2023/12/21 03:08:45:508',1,-0.011094,-0.044007,0.012816,0.488877,-2.711514,0.540287,1
28,'2023/12/21 03:08:45:540',1,0.014654,-0.029543,0.027367,0.494865,-2.71556,0.533942,1
29,'2023/12/21 03:08:45:574',1,0.010067,-0.01591,-0.05729,0.500082,-2.718159,0.526499,1
30,'2023/12/21 03:08:45:607',1,-0.000369,-0.022306,-0.042855,0.503995,-2.7178,0.519301,1
31,'2023/12/21 03:08:45:640',1,-0.035127,-0.027407,-0.03876,0.504565,-2.718651,0.515388,1
32,'2023/12/21 03:08:45:674',1,-0.01967,-0.022232,0.008288,0.503156,-2.720737,0.515289,1
33,'2023/12/21 03:08:45:708',1,-0.013716,-0.003584,-0.004837,0.501383,-2.720826,0.513697,1
34,'2023/12/21 03:08:45:741',1,-0.017075,0.0027,-0.007558,0.49818,-2.720126,0.516614,1
35,'2023/12/21 03:08:45:774',1,0.031041,0.004279,0.046148,0.493886,-2.720894,0.520536,1
36,'2023/12/21 03:08:45:807',1,0.038521,-0.000406,0.032706,0.489558,-2.721813,0.523383,1
37,'2023/12/21 03:08:45:840',1,0.039506,-0.0094,0.050472,0.486717,-2.721302,0.52504,1
38,'2023/12/21 03:08:45:874',1,0.03995,-0.01141,0.042049,0.486325,-2.721262,0.525029,1
39,'2023/12/21 03:08:45:907',1,0.022053,-0.024756,0.02079,0.488231,-2.721034,0.523485,1
40,'2023/12/21 03:08:45:940',1,0.030568,-0.011248,-0.022666,0.490656,-2.720532,0.521132,1
41,'2023/12/21 03:08:45:975',1,0.00114,-0.021897,0.005229,0.491817,-2.722085,0.5201,1
42,'2023/12/21 03:08:46:007',1,0.039031,0.009473,-0.014419,0.494014,-2.725025,0.518641,1
43,'2023/12/21 03:08:46:041',1,0.008941,0.006479,0.006197,0.495745,-2.731034,0.517086,1
44,'2023/12/21 03:08:46:074',1,0.029001,0.01278,-0.006183,0.496681,-2.73326,0.514606,1
45,'2023/12/21 03:08:46:107',1,0.012094,0.010099,0.029789,0.498023,-2.731866,0.509556,1
46,'2023/12/21 03:08:46:141',1,-0.010064,0.001918,0.019203,0.499115,-2.729089,0.503831,1
47,'2023/12/21 03:08:46:174',1,-0.016362,0.000985,0.049495,0.499338,-2.726678,0.499826,1
48,'2023/12/21 03:08:46:208',1,-0.022182,-0.001166,0.072206,0.499426,-2.727461,0.496088,1
49,'2023/12/21 03:08:46:240',1,0.00718,0.005538,0.060958,0.502146,-2.728304,0.493247,1
50,'2023/12/21 03:08:46:274',1,0.03994,0.003232,0.024194,0.505506,-2.72509,0.488739,1
51,'2023/12/21 03:08:46:307',1,0.043479,0.00483,0.048943,0.507019,-2.72535,0.484132,1
52,'2023/12/21 03:08:46:341',1,0.006549,0.007515,0.018071,0.509708,-2.726029,0.478845,1
53,'2023/12/21 03:08:46:374',1,-0.002102,0.001019,-0.06241,0.512845,-2.722894,0.473931,1
54,'2023/12/21 03:08:46:407',1,-0.013857,0.007204,-0.032028,0.513237,-2.720675,0.471222,1
55,'2023/12/21 03:08:46:442',1,-0.028892,0.01065,-0.031613,0.512725,-2.724107,0.470892,1
56,'2023/12/21 03:08:46:473',1,-0.01709,0.016741,-0.049628,0.511871,-2.727946,0.471619,1
57,'2023/12/21 03:08:46:507',1,-0.032367,0.001378,-0.005548,0.509355,-2.733961,0.473771,1
58,'2023/12/21 03:08:46:540',1,-0.027237,0.004779,0.025796,0.509511,-2.741542,0.47565,1
59,'2023/12/21 03:08:46:574',1,-0.013963,0.016352,-0.016261,0.512615,-2.747832,0.476603,1
60,'2023/12/21 03:08:46:607',1,-0.027583,0.003619,-0.037488,0.515867,-2.751181,0.478081,1
61,'2023/12/21 03:08:46:641',1,-0.01009,0.000893,0.004922,0.51833,-2.755796,0.480527,1
62,'2023/12/21 03:08:46:674',1,-0.010136,0.005771,-0.015323,0.522334,-2.764673,0.482671,1
63,'2023/12/21 03:08:46:707',1,-0.035932,-0.002223,-0.058508,0.523076,-2.77327,0.485683,1
64,'2023/12/21 03:08:46:740',1,-0.067519,-0.020162,0.011241,0.52104,-2.783717,0.491586,1
65,'2023/12/21 03:08:46:773',1,-0.05179,-0.000616,0.016117,0.519984,-2.804535,0.499019,1
66,'2023/12/21 03:08:46:807',1,-0.040931,-0.004785,-0.048596,0.516274,-2.823144,0.505641,1
67,'2023/12/21 03:08:46:841',1,-0.162359,0.027587,0.025725,0.514757,-2.840085,0.518092,1
68,'2023/12/21 03:08:46:874',1,0.037862,0.039799,-0.02409,0.517799,-2.857273,0.53295,1
69,'2023/12/21 03:08:46:907',1,0.060699,0.017429,0.009278,0.519942,-2.861187,0.537818,1
70,'2023/12/21 03:08:46:943',1,0.041026,0.031795,0.013249,0.52266,-2.863234,0.535002,1
71,'2023/12/21 03:08:46:974',1,0.004625,0.040051,0.021533,0.526822,-2.865327,0.529149,1
72,'2023/12/21 03:08:47:007',1,0.032753,0.02363,0.013402,0.536929,-2.855919,0.517858,1
73,'2023/12/21 03:08:47:041',1,-0.015439,0.01789,0.024637,0.548437,-2.84254,0.506524,1
74,'2023/12/21 03:08:47:074',1,0.022635,0.042537,0.020483,0.563315,-2.827059,0.495682,1
75,'2023/12/21 03:08:47:108',1,0.055736,0.027934,0.098582,0.582289,-2.805873,0.47735,1
76,'2023/12/21 03:08:47:140',1,-0.041371,0.012174,0.092444,0.602913,-2.79225,0.461154,1
77,'2023/12/21 03:08:47:175',1,-0.067922,0.00147,0.020847,0.627418,-2.790159,0.444632,1
78,'2023/12/21 03:08:47:207',1,-0.031345,0.007473,-0.037512,0.646101,-2.794131,0.435562,1
79,'2023/12/21 03:08:47:241',1,-0.013313,0.014259,-0.036318,0.659387,-2.796577,0.429162,1
80,'2023/12/21 03:08:47:274',1,-0.032967,0.038125,0.003928,0.668184,-2.79182,0.421364,1
81,'2023/12/21 03:08:47:307',1,-0.061239,0.044262,-0.059237,0.675654,-2.778202,0.413802,1
82,'2023/12/21 03:08:47:340',1,-0.050173,0.024571,-0.083476,0.676936,-2.758062,0.408214,1
83,'2023/12/21 03:08:47:374',1,-0.017666,0.026803,-0.07972,0.663566,-2.749616,0.4076,1
84,'2023/12/21 03:08:47:407',1,0.021584,0.039527,-0.136927,0.638111,-2.743499,0.405883,1
85,'2023/12/21 03:08:47:440',1,0.061115,0.047857,-0.057565,0.592843,-2.708246,0.392752,1
86,'2023/12/21 03:08:47:474',1,-0.237729,-0.186927,0.143376,0.556236,-2.686667,0.370291,1
87,'2023/12/21 03:08:47:508',1,-0.211336,-0.026781,0.126372,0.546497,-2.696272,0.368014,1
88,'2023/12/21 03:08:47:544',1,-0.037637,0.00926,0.061184,0.544747,-2.705368,0.369286,1
89,'2023/12/21 03:08:47:575',1,-0.073958,-0.006184,0.058617,0.539383,-2.73799,0.373114,1
90,'2023/12/21 03:08:47:607',1,-0.040349,0.02996,0.044799,0.531342,-2.793461,0.381146,1
